# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
tan hua shi 	谈话室	c=1 d=1 t=10088
tan huang 	弹簧	c=2 d=1.97531 t=71108
tan ke 	坦克	c=1 d=1 t=86113
tan le 	弹了	c=2 d=1.94649 t=3676
tan lian ai 	谈恋爱	c=1 d=1 t=85537
tan lun 	谈论	c=2 d=1.60351 t=77365
tan sheng yi 	谈生意	c=1 d=1 t=22803
tan te 	忐忑	c=1 d=1 t=23344
tan tuo 	谈妥	c=1 d=1 t=99220
tan wan 	贪玩	c=1 d=1 t=63134
tan zi 	摊子	c=1 d=1 t=93725
tan zi 	毯子	c=6 d=1 t=93726
tan zi 	谈资	c=1 d=1 t=148368
tang 	唐	c=1 d=1 t=30577
tang 	汤	c=6 d=1.42741 t=59574
tang 	烫	c=4 d=1.91393 t=104034
tang 	糖	c=5 d=1 t=97543
tang 	趟	c=3 d=1 t=91058
tang 	躺	c=7 d=1 t=146589
tang bu zhu 	躺不住	c=1 d=1 t=50153
tang chen yu 	唐宸禹	c=0 d=0.1 t=143959
tang cu 	糖醋	c=1 d=1 t=55254
tang fen 	糖分	c=1 d=1 t=11595
tang hu lu 	糖葫芦	c=1 d=1 t=119045
tang hui er 	躺会儿	c=1 d=1 t=83576
tang le 	烫了	c=1 d=1 t=69842
tang le 	躺了	c=1 d=1 t=86194
tang ping 	躺平	c=6 d=1 t=133793
tang tang shui shui 	汤汤水水	c=2 d=1 t=125748
tang xia 	躺下	c=2 d=1.98511 t=38265
tang zhe 	躺着	c=7 d=1 t=135152
tao 	套	c=8 d=1 t=95910
tao 	逃	c=1 d=1 t=28524
tao bao 	淘宝	c=29 d=1 t=134423
tao bao dian 	淘宝店	c=2 d=1.90937 t=117842
tao bao ke 	淘宝客	c=1 d=1 t=99045
tao bu dao 	讨不到	c=1 d=1 t=119353
tao can 	套餐	c=12 d=1 t=135421
tao ci 	陶瓷	c=1 d=1 t=38524
tao er shao 	掏耳勺	c=1 d=1 t=104745
tao ke 	套壳	c=3 d=1 t=61458
tao lun 	讨论	c=20 d=1.00799 t=147154
tao lun guo 	讨论过	c=1 d=1 t=64341
tao mi 	淘米	c=3 d=1 t=101230
tao tai 	淘汰	c=3 d=1.98511 t=82847
tao tan 	套弹	c=1 d=1 t=117940
tao yan 	讨厌	c=1 d=1 t=129959
te 	特	c=2 d=1 t=30415
te bie 	特别	c=35 d=0.527292 t=148898
te bie man 	特别慢	c=1 d=1 t=52627
te chan 	特产	c=1 d=1 t=50868
te di 	特地	c=4 d=1 t=83894
te di rang ni 	特地让你	c=1 d=1 t=64762
te die 	特爹	c=1 d=1 t=86935
te ding 	特定	c=5 d=1 t=108613
te ding duo 	特定多	c=2 d=1.99501 t=95921
te gong 	特供	c=1 d=1 t=17561
te gong 	特工	c=3 d=1 t=142749
te gong ban 	特供版	c=1 d=1 t=69085
te lang pu 	特朗普	c=1 d=1 t=125670
te qu 	特区	c=1 d=1 t=14514
te shu 	特殊	c=4 d=1 t=121173
te si la 	特斯拉	c=6 d=1 t=86476
te xing 	特性	c=1 d=1 t=47301
te zhong bing 	特种兵	c=1 d=1 t=36990
teng 	疼	c=33 d=1 t=107370
teng 	藤	c=1 d=1 t=126356
teng chu lai 	腾出来	c=1 d=1 t=141757
teng tong 	疼痛	c=1 d=1 t=11394
teng xun 	腾讯	c=7 d=1 t=118545
teng xun yun 	腾讯云	c=2 d=1 t=110568
ti 	提	c=20 d=1.85214 t=139718
ti 	替	c=2 d=1 t=125558
ti 	踢	c=5 d=1.81465 t=109640
ti cao 	体操	c=4 d=2.72202 t=49641
ti chu 	剔除	c=4 d=1.99501 t=121082
ti chu 	提出	c=1 d=1 t=121083
ti chu lai 	提出来	c=2 d=1 t=54703
ti chu qu 	踢出去	c=1 d=1 t=98745
ti chu qun 	踢出群	c=1 d=1 t=127815
ti dai 	替代	c=27 d=1 t=147476
ti dai duo 	替代多	c=3 d=1 t=98986
ti dai pin 	替代品	c=3 d=1 t=133156
ti dai wu 	替代物	c=1 d=1 t=101667
ti dao 	提到	c=6 d=1 t=139201
ti gan 	体感	c=3 d=1 t=26489
ti gang 	提纲	c=0 d=0.1 t=78527
ti gao 	提高	c=9 d=1 t=145971
ti ge 	体格	c=2 d=1 t=80089
ti gong 	提供	c=20 d=1 t=138831
ti guo 	提过	c=1 d=1 t=58893
ti huan 	替换	c=16 d=1.00001 t=140701
ti huan cheng 	替换成	c=1 d=1 t=128006
ti hui 	体会	c=1 d=1 t=54787
ti ji 	体积	c=3 d=1 t=97559
ti jian 	体检	c=8 d=1 t=33508
ti jiao 	提交	c=24 d=3.19515 t=138417
ti jiao xian 	踢脚线	c=1 d=1 t=16963
ti le 	提了	c=1 d=1 t=4534
ti le 	踢了	c=2 d=1 t=99905
ti liang 	体量	c=6 d=1 t=147216
ti mian 	体面	c=1 d=1 t=87842
ti mu 	题目	c=1 d=1 t=119210
ti qi 	提起	c=1 d=1 t=87348
ti qi lai 	提起来	c=1 d=1 t=103937
ti qian 	提前	c=30 d=1 t=141924
ti qu 	提取	c=4 d=1 t=129182
ti qu chu 	提取出	c=1 d=1 t=128558
ti shang qu 	提上去	c=1 d=1 t=41815
ti sheng 	提升	c=2 d=1 t=121708
ti shi 	提示	c=75 d=1.00001 t=142497
ti shi ci 	提示词	c=5 d=1 t=112987
ti shi wo 	提示我	c=1 d=1 t=100767
ti si 	踢死	c=0 d=0.1 t=109136
ti si le 	踢死了	c=1 d=1 t=109137
ti su 	提速	c=1 d=1 t=45933
ti wai hua 	题外话	c=3 d=1 t=140038
ti wan 	踢完	c=1 d=1 t=30875
ti wen 	体温	c=1 d=1 t=30877
ti wen 	提问	c=11 d=1 t=132039
ti xi 	体系	c=2 d=1.99005 t=110338
ti xian 	体现	c=1 d=1 t=42603
ti xing 	提醒	c=6 d=1 t=114823
ti xing ni 	提醒你	c=1 d=1 t=123646
ti xu dao 	剃须刀	c=5 d=1.80565 t=74355
ti yan 	体验	c=43 d=1.00075 t=142001
ti yan ka 	体验卡	c=1 d=1 t=130708
ti zhi 	体制	c=1 d=1 t=3327
ti zhi 	体质	c=8 d=1 t=86444
ti zhi bu hao 	体质不好	c=1 d=1 t=4312
ti zhi nei 	体制内	c=1 d=1 t=49194
ti zhong 	体重	c=5 d=1 t=124682
ti zi 	梯子	c=4 d=1.11824 t=137406
ti zui yang 	替罪羊	c=1 d=1 t=89067
tian 	填	c=6 d=1.01434 t=120341
tian 	天	c=59 d=1.97599 t=147112
tian 	甜	c=4 d=1.66034 t=97628
tian bao 	填饱	c=1 d=1 t=70789
tian cai 	天才	c=1 d=1 t=116921
tian chong 	填充	c=5 d=1 t=120279
tian da di da 	天大地大	c=1 d=1 t=109632
tian fu 	天赋	c=3 d=1 t=128250
tian fu yi bing 	天赋异禀	c=1 d=1 t=38692
tian hei 	天黑	c=2 d=1 t=134822
tian hua ban 	天花板	c=6 d=1 t=116245
tian huan ban 	天换班	c=1 d=1 t=116244
tian jia 	添加	c=51 d=1.54881 t=146959
tian jia yu 	添加鱼	c=2 d=1.91851 t=126539
tian jie 	天街	c=4 d=2.39085 t=56186
tian kong zhi cheng 	天空之城	c=1 d=1 t=5884
tian man 	填满	c=1 d=1 t=43374
tian mao 	天猫	c=2 d=1 t=93266
tian mao jing ling 	天猫精灵	c=1 d=1 t=62402
tian ping 	天平	c=1 d=1 t=137289
tian qi 	天气	c=5 d=1 t=134814
tian qi leng 	天气冷	c=1 d=1 t=133770
tian qi yu bao 	天气预报	c=1 d=1 t=93234
tian qian 	天堑	c=1 d=1 t=120812
tian qing le 	天晴了	c=1 d=1 t=2055
tian shang 	天上	c=2 d=1.71534 t=125240
tian sheng 	天生	c=2 d=1 t=59122
tian shua 	天刷	c=13 d=1.45033 t=142713
tian tang 	天堂	c=1 d=1 t=54807
tian ti tu 	天梯图	c=1 d=1 t=12503
tian tian 	天天	c=41 d=1 t=141030
tian wen shu zi 	天文数字	c=1 d=1 t=70291
tian xie 	填写	c=4 d=1 t=113950
tian xie 	天蝎	c=5 d=1.9802 t=31661
tian xuan 	天选	c=2 d=1.66698 t=42472
tian you jia cu 	添油加醋	c=1 d=1 t=100216
tian zhong 	田中	c=1 d=1 t=99154
tiao 	挑	c=5 d=1.98511 t=55150
tiao 	条	c=9 d=1 t=121061
tiao 	调	c=7 d=1.0131 t=148651
tiao 	跳	c=17 d=1 t=145322
tiao chu 	跳出	c=3 d=2.29493 t=28721
tiao dong 	跳动	c=2 d=1 t=143865
tiao geng 	调羹	c=1 d=1 t=68478
tiao guo 	跳过	c=2 d=1 t=115606
tiao hua yan 	挑花眼	c=1 d=1 t=75039
tiao hui 	跳回	c=2 d=1.90937 t=13125
tiao jian 	条件	c=11 d=1 t=123753
tiao jiao 	调教	c=3 d=1 t=89071
tiao lou jia 	跳楼价	c=2 d=1.79852 t=147595
tiao lu 	条路	c=1 d=1 t=68472
tiao ma 	跳马	c=1 d=1 t=49590
tiao mu 	条目	c=1 d=1 t=126663
tiao se 	调色	c=1 d=1 t=120974
tiao se pan 	调色盘	c=1 d=1 t=130605
tiao shi 	调试	c=9 d=1 t=148597
tiao shi yuan 	调试员	c=1 d=1 t=80112
tiao shui 	跳水	c=2 d=1 t=101262
tiao tiao 	跳跳	c=1 d=1 t=20221
tiao wan 	跳完	c=1 d=1 t=99546
tiao wu 	跳舞	c=1 d=1 t=130252
tiao xiao 	调小	c=1 d=1 t=82607
tiao xuan 	挑选	c=1 d=1 t=45402
tiao yang 	调养	c=4 d=1 t=87712
tiao yang hao 	调养好	c=1 d=1 t=29685
tiao you 	调优	c=1 d=1 t=38744
tiao zhan 	挑战	c=1 d=1 t=63193
tiao zhan sai 	挑战赛	c=6 d=1 t=92887
tiao zheng 	调整	c=27 d=0.398519 t=148898
tiao zheng hou 	调整后	c=1 d=1 t=33198
tiao zhuan 	跳转	c=5 d=1.17552 t=124528
tie 	贴	c=10 d=1 t=146362
tie 	铁	c=4 d=1 t=37386
tie ba 	贴吧	c=6 d=1 t=136659
tie chui 	铁锤	c=1 d=1 t=47071
tie jin 	贴近	c=2 d=1.57121 t=110810
tie lian 	贴脸	c=1 d=1 t=102187
tie lian 	铁链	c=1 d=1 t=102186
tie mian 	贴面	c=1 d=1 t=104056
tie mo 	贴膜	c=1 d=1 t=74554
tie tou 	铁头	c=1 d=1 t=103205
tie xin 	贴心	c=1 d=1 t=82693
tie yi 	铁艺	c=1 d=1 t=2500
tie zhe 	贴着	c=1 d=1 t=49278
tie zi 	帖子	c=37 d=1.00192 t=147448
tie zi hen duo 	帖子很多	c=1 d=1 t=15690
ting 	停	c=3 d=1 t=128928
ting 	听	c=16 d=1.27527 t=148503
ting 	挺	c=99 d=1.18177 t=146516
ting bie ren 	听别人	c=1 d=1 t=4027
ting bu chu 	听不出	c=0 d=0.1 t=71336
ting bu chu cuo 	听不出错	c=1 d=1 t=71337
ting bu cuo 	挺不错	c=3 d=1 t=141448
ting bu dao 	听不到	c=1 d=1 t=74311
ting bu dong 	听不懂	c=1 d=1 t=96657
ting bu xia 	停不下	c=2 d=1.97531 t=73613
ting can 	挺惨	c=1 d=1 t=98892
ting che 	停车	c=4 d=0.782705 t=148898
ting che wei 	停车位	c=1 d=1 t=73605
ting da 	挺大	c=13 d=1 t=132017
ting dao 	停到	c=1 d=1 t=143066
ting dao 	听到	c=12 d=1.00238 t=138094
ting dian 	停电	c=0 d=0.1 t=128595
ting dong 	听懂	c=3 d=1.99005 t=137125
ting dong le 	听懂了	c=1 d=1 t=103027
ting duo 	挺多	c=34 d=1 t=148334
ting duo keng 	挺多坑	c=1 d=1 t=132686
ting fang bian 	挺方便	c=3 d=1 t=83128
ting fu za 	挺复杂	c=1 d=1 t=30622
ting gao 	挺高	c=6 d=1 t=141255
ting gui 	挺贵	c=2 d=1 t=147092
ting guo 	听过	c=8 d=1 t=138511
ting guo le 	听过了	c=1 d=1 t=140626
ting hao 	挺好	c=71 d=0.130029 t=148898
ting hao chi 	挺好吃	c=4 d=1 t=72507
ting hao de 	挺好的	c=9 d=1 t=130173
ting hao kan 	挺好看	c=4 d=1 t=105062
ting hao wan 	挺好玩	c=2 d=1 t=25642
ting hao yong 	挺好用	c=22 d=0.255112 t=148898
ting hua 	听话	c=1 d=1 t=101831
ting hui 	听会	c=1 d=1 t=49457
ting hui wan 	挺会玩	c=1 d=1 t=112906
ting ji 	停机	c=0 d=0.1 t=112947
ting jian dan 	挺简单	c=4 d=1 t=115315
ting jiu 	挺久	c=6 d=1 t=133168
ting jiu le 	听久了	c=1 d=1 t=70807
ting kuai 	挺快	c=7 d=1.92318 t=142999
ting le 	停了	c=3 d=1 t=59492
ting le 	听了	c=4 d=0.1 t=93843
ting le bie ren 	听了别人	c=1 d=1 t=93844
ting li hai 	挺厉害	c=9 d=1 t=112073
ting liao jie 	挺了解	c=1 d=1 t=27161
ting liu 	停留	c=1 d=1 t=38248
ting liu chang 	挺流畅	c=1 d=1 t=112995
ting ma fan 	挺麻烦	c=4 d=1.03159 t=141742
ting man 	挺慢	c=1 d=1 t=115963
ting ming bai 	听明白	c=1 d=1 t=41439
ting mo huan 	挺魔幻	c=1 d=1 t=108779
ting neng 	挺能	c=0 d=0.1 t=10332
ting neng ren 	挺能忍	c=1 d=1 t=10333
ting ni de 	听你的	c=1 d=1 t=74419
ting niu 	挺牛	c=1 d=1 t=136641
ting pian yi 	挺便宜	c=3 d=1 t=31849
ting qi guai 	挺奇怪	c=3 d=1 t=148756
ting qi lai 	听起来	c=3 d=1 t=135951
ting sha 	挺傻	c=1 d=1 t=134566
ting shao 	挺少	c=2 d=1 t=113127
ting sheng 	挺省	c=1 d=1 t=5567
ting shi 	停驶	c=1 d=1 t=132366
ting shu fu 	挺舒服	c=2 d=1 t=145904
ting shuang 	挺爽	c=2 d=1 t=81981
ting shuo 	听说	c=10 d=1.47001 t=146532
ting shuo guo 	听说过	c=2 d=1 t=38242
ting ting 	听听	c=3 d=1.01569 t=75137
ting wen 	挺稳	c=0 d=0.1 t=29492
ting wen de 	挺稳的	c=2 d=1 t=61106
ting wen ding 	挺稳定	c=1 d=1 t=29808
ting wo shuo 	听我说	c=1 d=1 t=97105
ting xi huan 	挺喜欢	c=1 d=1 t=147183
ting xia lai 	停下来	c=1 d=1 t=27070
ting xiang 	挺像	c=2 d=1 t=133912
ting xiao 	挺小	c=2 d=1 t=79971
ting yong 	停用	c=7 d=1 t=139037
ting you 	挺有	c=2 d=1 t=146203
ting you dao li 	挺有道理	c=1 d=1 t=52985
ting you ming 	挺有名	c=2 d=1 t=120226
ting you qian 	挺有钱	c=0 d=0.1 t=42379
ting you yi si 	挺有意思	c=8 d=1 t=111212
ting you yong 	挺有用	c=1 d=1 t=126134
ting yuan 	挺远	c=1 d=1 t=70768
ting zai 	停在	c=1 d=1 t=86368
ting zao 	挺早	c=3 d=1 t=124941
ting zhe 	听着	c=1 d=1 t=125594
ting zheng 	听证	c=1 d=0.396531 t=148898
ting zhi 	停止	c=2 d=1 t=114622
ting zhi hui 	听指挥	c=1 d=1 t=145404
ting zhuan qian 	挺赚钱	c=1 d=1 t=110483
ting zu 	挺组	c=1 d=1 t=117232
tong 	同	c=15 d=1.00006 t=148797
tong 	捅	c=4 d=1 t=37032
tong 	痛	c=7 d=1 t=50352
tong 	通	c=16 d=1.00006 t=148796
tong bu 	同步	c=73 d=1.00001 t=143748
tong bu zhao sheng 	同步招生	c=1 d=1 t=107522
tong chang 	通常	c=2 d=1 t=39934
tong chang 	通畅	c=5 d=1 t=59698
tong chou 	统筹	c=1 d=1 t=33386
tong deng ji 	同等级	c=1 d=1 t=45414
tong dian 	痛点	c=3 d=1.83527 t=121880
tong feng 	痛风	c=2 d=1 t=65930
tong feng 	通风	c=3 d=1 t=138076
tong gao 	通告	c=2 d=1.83946 t=4881
tong guan 	通关	c=1 d=1 t=140905
tong guo 	通过	c=17 d=1.13279 t=124531
tong guo guo 	通过过	c=1 d=1 t=124532
tong ji 	统计	c=13 d=1.00017 t=107819
tong jin cheng 	童锦程	c=1 d=1 t=58252
tong ku 	痛苦	c=2 d=1 t=129945
tong kuan 	同款	c=1 d=1 t=111133
tong le 	通了	c=2 d=1 t=124192
tong lei 	同类	c=4 d=1 t=147498
tong ming 	同名	c=3 d=1 t=122077
tong qin 	通勤	c=1 d=1 t=49016
tong ren 	同人	c=1 d=1 t=14754
tong shang 	同上	c=1 d=1 t=2726
tong shi 	同事	c=10 d=1 t=141555
tong shi 	同时	c=5 d=1 t=58123
tong shi men 	同事们	c=1 d=1 t=105403
tong su 	通俗	c=5 d=1 t=120762
tong xiao 	通宵	c=4 d=1.08046 t=113333
tong xiao 	通晓	c=1 d=1 t=90503
tong xin 	通信	c=1 d=1 t=44172
tong xue 	同学	c=11 d=2.98093 t=95548
tong xue qun 	同学群	c=1 d=1 t=99882
tong xun lu 	通讯录	c=1 d=1 t=36669
tong yi 	同意	c=5 d=1 t=76576
tong yi 	统一	c=9 d=1 t=145416
tong yi bo 	同一波	c=1 d=1 t=109148
tong yi ge 	同一个	c=4 d=1 t=144790
tong yi ge ren 	同一个人	c=1 d=1 t=44984
tong yi jia 	同一家	c=2 d=1 t=84356
tong yi jia 	统一价	c=1 d=1 t=84357
tong yi pi ren 	同一批人	c=1 d=1 t=73813
tong yi tao 	同一套	c=1 d=1 t=145050
tong yi tian 	同一天	c=1 d=1 t=23783
tong yong 	通用	c=4 d=1 t=141957
tong yuan 	同源	c=2 d=1.62189 t=116602
tong zhi 	通知	c=12 d=1 t=135514
tong zhi dan 	通知单	c=1 d=1 t=11037
tou 	偷	c=6 d=1 t=125339
tou 	头	c=14 d=1 t=129667
tou 	投	c=1 d=1 t=29678
tou 	透	c=2 d=1.16948 t=87603
tou bu 	头部	c=7 d=1 t=129698
tou fa 	头发	c=9 d=2.64582 t=135158
tou feng 	透风	c=1 d=1 t=111748
tou gui 	头贵	c=1 d=1 t=70335
tou he 	偷喝	c=1 d=1 t=89955
tou jia 	偷加	c=1 d=1 t=58391
tou kui 	偷窥	c=1 d=1 t=70336
tou lan 	偷懒	c=2 d=1 t=82587
tou lan 	投篮	c=1 d=1 t=55162
tou lia 	头俩	c=1 d=1 t=85587
tou ming 	透明	c=7 d=1 t=142285
tou ming du 	透明度	c=1 d=1 t=131253
tou nao 	头脑	c=1 d=1 t=83544
tou pao 	偷跑	c=1 d=1 t=108805
tou piao 	投票	c=2 d=1 t=118104
tou ping 	投屏	c=2 d=1 t=131632
tou ru 	投入	c=1 d=1 t=37499
tou su 	投诉	c=4 d=1 t=123649
tou tao 	头套	c=1 d=1 t=11947
tou teng 	头疼	c=8 d=1 t=147842
tou tiao 	头条	c=16 d=1 t=82159
tou tie 	头铁	c=1 d=1 t=33585
tou tou 	偷偷	c=9 d=0.1 t=142073
tou tou cang bu zhu 	偷偷藏不住	c=1 d=1 t=5920
tou tou de 	偷偷地	c=0 d=0.1 t=22836
tou tou de shuo 	偷偷地说	c=1 d=1 t=22837
tou tou fa 	偷偷发	c=1 d=1 t=142074
tou tou kan 	偷偷看	c=1 d=1 t=83715
tou tou mo mo 	偷偷摸摸	c=1 d=1 t=52589
tou wei 	头尾	c=1 d=1 t=145321
tou xiang 	头像	c=9 d=1 t=138627
tou xiang 	投降	c=1 d=1 t=54351
tou xu 	头绪	c=1 d=1 t=25766
tou ying 	投影	c=1 d=1 t=93205
tou zhi 	透支	c=1 d=1 t=38010
tou zi 	投资	c=6 d=1 t=125457
tou zi ren 	投资人	c=2 d=1 t=141695
tu 	吐	c=5 d=0.640824 t=148898
tu 	图	c=24 d=1.13733 t=137197
tu 	土	c=1 d=1 t=31408
tu 	涂	c=1 d=1 t=27404
tu 	突	c=2 d=1 t=75493
tu an 	图案	c=1 d=1 t=2947
tu biao 	图标	c=6 d=1 t=124397
tu biao 	图表	c=5 d=1 t=93585
tu cao 	吐槽	c=7 d=1 t=140583
tu ceng 	图层	c=1 d=1 t=130636
tu chu 	突出	c=2 d=1 t=66689
tu er qi 	土耳其	c=7 d=2.3832 t=135534
tu gai 	涂改	c=0 d=0.1 t=90711
tu gai jian dan 	涂改简单	c=1 d=1 t=90712
tu huang se 	土黄色	c=1 d=1 t=93393
tu ji 	图集	c=1 d=1 t=11166
tu jian 	图鉴	c=1 d=1 t=70135
tu jie 	图解	c=1 d=1 t=29905
tu le 	吐了	c=2 d=1 t=116848
tu le 	秃了	c=1 d=1 t=69470
tu li 	图例	c=1 d=1 t=115220
tu mu 	土木	c=1 d=1 t=11181
tu pian 	图片	c=33 d=1 t=132571
tu po 	突破	c=1 d=1 t=5151
tu qi 	突起	c=1 d=1 t=52719
tu ran 	突然	c=21 d=1 t=148037
tu sha 	图啥	c=1 d=1 t=136990
tu shang 	图上	c=3 d=1 t=66017
tu shang 	涂上	c=1 d=1 t=27412
tu shu 	图书	c=3 d=1 t=129917
tu si 	吐司	c=3 d=1 t=80083
tu ti 	土体	c=1 d=1 t=25619
tu tu 	兔兔	c=1 d=1 t=112457
tu tu tu 	突突突	c=1 d=1 t=22297
tu wen 	图文	c=1 d=1 t=77504
tu wen jie he 	图文结合	c=1 d=1 t=61880
tu xing 	图形	c=1 d=1 t=125507
tu yao 	涂药	c=1 d=1 t=34247
tu zhi 	图纸	c=3 d=1 t=111228
tuan 	团	c=2 d=1 t=79448
tuan dui 	团队	c=14 d=1.00364 t=139977
tuan gou 	团购	c=0 d=0.1 t=58862
tuan jian 	团建	c=2 d=1.81873 t=13953
tui 	推	c=54 d=1 t=144348
tui 	腿	c=3 d=1 t=132840
tui 	退	c=10 d=1 t=99076
tui ce 	推测	c=1 d=1 t=53010
tui chi 	推迟	c=1 d=1 t=4691
tui chong 	推崇	c=1 d=1 t=147165
tui chu 	推出	c=3 d=1 t=98607
tui chu 	退出	c=5 d=1 t=143702
tui ci 	推辞	c=1 d=1 t=148061
tui dong 	推动	c=2 d=1 t=62479
tui guang 	推广	c=3 d=1 t=112923
tui huan huo 	退换货	c=1 d=1 t=35404
tui huo 	退货	c=1 d=1 t=43946
tui jian 	推荐	c=64 d=1.00563 t=147161
tui le 	退了	c=3 d=1 t=138602
tui le ba 	退了吧	c=1 d=1 t=44061
tui li 	推理	c=1 d=1 t=68970
tui liu 	推流	c=4 d=1 t=112235
tui piao 	退票	c=1 d=1 t=36246
tui qun 	退群	c=1 d=1 t=36752
tui shang 	推上	c=5 d=1 t=141289
tui song 	推送	c=5 d=1.92312 t=121062
tui suan 	腿酸	c=2 d=1.956 t=60989
tui te 	推特	c=77 d=1 t=139723
tui tuo 	推脱	c=1 d=1 t=17359
tui xian 	推线	c=1 d=1 t=71549
tui xiu 	退休	c=1 d=1 t=84290
tui yi bu 	退一步	c=2 d=1 t=117748
tui yi xia 	推一下	c=1 d=1 t=13327
tun 	囤	c=1 d=1 t=84622
tun ce 	吞测	c=1 d=1 t=53009
tuo 	托	c=2 d=1 t=46516
tuo 	拓	c=5 d=1.08046 t=50838
tuo 	拖	c=15 d=1 t=145018
tuo 	脱	c=1 d=1 t=50839
tuo ci 	托词	c=1 d=1 t=48548
tuo di 	托底	c=1 d=1 t=36610
tuo dong 	拖动	c=3 d=1.1115 t=132132
tuo le 	拖了	c=1 d=1 t=23858
tuo li 	脱离	c=2 d=1.00001 t=107122
tuo li bu liao 	脱离不了	c=1 d=1 t=110958
tuo min 	脱敏	c=1 d=1 t=98866
tuo pu 	拓扑	c=2 d=1.51171 t=25740
tuo tuo 	妥妥	c=1 d=1 t=17358
tuo xie 	妥协	c=1 d=1 t=40730
tuo xie ne 	妥协呢	c=1 d=1 t=19042
tuo yan zheng 	拖延症	c=1 d=1 t=135858
tuo zai 	拖在	c=1 d=1 t=50945
tuo zhan 	拓展	c=3 d=0.287941 t=148898
tuo zhe 	拖着	c=3 d=1 t=93754
tuo zhuai 	拖拽	c=3 d=1 t=99142
wa 	哇	c=77 d=0.324652 t=148898
wa 	挖	c=5 d=1 t=100252
wa bang 	佤邦	c=1 d=1 t=14513
wa ca 	哇擦	c=1 d=1 t=20551
wa cao 	哇操	c=1 d=1 t=90092
wa ci ke 	瓦茨克	c=1 d=1 t=41070
wa fen jue mu 	挖坟掘墓	c=1 d=1 t=41587
wa jue 	挖掘	c=1 d=1 t=20976
wa kao 	哇靠	c=32 d=1 t=135696
wa kuang 	挖矿	c=2 d=1.99005 t=31321
wa li ao 	瓦里奥	c=1 d=1 t=60789
wa qiao 	哇敲	c=1 d=1 t=93815
wa wa 	娃娃	c=2 d=1 t=134021
wa wa cai 	娃娃菜	c=3 d=1.00399 t=45194
wa wa jiao 	哇哇叫	c=2 d=1 t=118410
wa wan 	挖完	c=1 d=1 t=115284
wa zi 	袜子	c=3 d=1 t=74938
wai 	外	c=5 d=1 t=143781
wai 	歪	c=2 d=1.96561 t=102672
wai bao 	外包	c=18 d=1 t=117099
wai bian 	外边	c=2 d=1 t=79624
wai bian kuang 	外边框	c=1 d=1 t=121189
wai biao 	外表	c=1 d=1 t=23389
wai bu 	外部	c=3 d=1 t=124017
wai ceng 	外层	c=1 d=1 t=121557
wai chuan 	外传	c=1 d=1 t=92354
wai gua 	外挂	c=3 d=1 t=130117
wai guan 	外观	c=1 d=1 t=80272
wai jia 	外加	c=1 d=1 t=113849
wai jie 	外接	c=10 d=1.90147 t=145092
wai kuai 	外快	c=2 d=1 t=88195
wai mai 	外卖	c=83 d=1.04243 t=148012
wai mai yuan 	外卖员	c=1 d=1 t=107947
wai mian 	外面	c=29 d=0.527292 t=148898
wai po 	外婆	c=2 d=1 t=131309
wai po jia 	外婆家	c=1 d=1 t=132896
wai ren 	外人	c=1 d=1 t=125442
wai song 	外送	c=2 d=1 t=98641
wai ta 	外塔	c=1 d=1 t=72108
wai tao 	外套	c=1 d=1 t=29665
wai wai 	歪歪	c=1 d=1 t=112663
wai wang 	外网	c=7 d=1 t=89091
wai xing 	外形	c=3 d=1.99501 t=73570
wai yuan 	外援	c=1 d=1 t=133870
wan 	万	c=6 d=1 t=125360
wan 	完	c=38 d=1.97438 t=140894
wan 	晚	c=5 d=1 t=134847
wan 	湾	c=4 d=1.85642 t=60099
wan 	玩	c=273 d=3.71557 t=147655
wan 	碗	c=8 d=1.76288 t=146689
wan an 	晚安	c=46 d=1 t=148313
wan an an 	晚安安	c=2 d=1 t=130579
wan bi 	完毕	c=4 d=1 t=118396
wan bu 	玩不	c=1 d=1 t=66818
wan bu de yi 	万不得已	c=4 d=1 t=134647
wan bu liao 	玩不了	c=4 d=1.41895 t=78816
wan bu ming bai 	玩不明白	c=1 d=1 t=75515
wan bu qi 	玩不起	c=2 d=1.65051 t=125547
wan bu qi lai 	玩不起来	c=1 d=1 t=105513
wan cheng 	完成	c=13 d=1 t=129761
wan cheng du 	完成度	c=2 d=1 t=112493
wan da 	万达	c=5 d=1.96079 t=135402
wan dang 	玩当	c=1 d=1 t=137167
wan de 	玩的	c=1 d=1 t=132015
wan de hao 	玩得好	c=1 d=1 t=99302
wan di 	碗底	c=2 d=1.7827 t=146410
wan dian 	晚点	c=49 d=1 t=147546
wan er 	婉儿	c=1 d=1 t=64128
wan fa 	玩法	c=3 d=2.44534 t=113471
wan fan 	晚饭	c=30 d=1.00074 t=148016
wan fan 	碗饭	c=1 d=1 t=42242
wan gu 	万古	c=1 d=1 t=44002
wan guo 	玩过	c=2 d=1 t=115280
wan hao 	完好	c=3 d=1.95187 t=35271
wan hui er 	玩会儿	c=7 d=1 t=129740
wan jia 	玩家	c=7 d=1 t=136285
wan jin you 	万金油	c=2 d=1 t=80535
wan jiu 	挽救	c=2 d=1 t=127500
wan ju 	玩具	c=6 d=1 t=104258
wan kou 	碗口	c=1 d=1 t=19475
